timestamp,framework,commit,model,quant,threads,numa,pp512_tps,tg128_tps,file_size_bytes,bpw,ppl_wt2_c2048,ppl_fp16_anchor,tool,notes
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q3_K_M,48,none,185.52,0.81,413978752,4.34,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q3_K_M,12,node0-cpubind,416.79,84.15,413978752,4.34,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q2_K,24,none,,,347288704,3.63,37.472,18.4881,llama-perplexity,wt2-raw full test; ctx2048; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q2_K,1,none,48.34,20.66,347288704,3.63,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q2_K,6,none,262.54,72.05,347288704,3.63,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q2_K,12,none,499.45,103.11,347288704,3.63,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q2_K,24,none,697.23,112.24,347288704,3.63,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q2_K,48,none,204.9,0.6,347288704,3.63,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,Q2_K,12,node0-cpubind,508.99,117.83,347288704,3.63,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_M,24,none,,,331760768,3.47,53.1124,18.4881,llama-perplexity,wt2-raw full test; ctx2048; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_M,1,none,16.69,12.11,331760768,3.47,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_M,6,none,93.84,55.86,331760768,3.47,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_M,12,none,183.78,81.41,331760768,3.47,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_M,24,none,248.75,88.73,331760768,3.47,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_M,48,none,144.56,0.45,331760768,3.47,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_M,12,node0-cpubind,187.74,86.11,331760768,3.47,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XS,24,none,,,293046400,3.06,249.9168,18.4881,llama-perplexity,wt2-raw full test; ctx2048; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XS,1,none,18.92,13.07,293046400,3.06,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XS,6,none,108.0,58.97,293046400,3.06,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XS,12,none,210.32,90.5,293046400,3.06,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XS,24,none,372.22,107.73,293046400,3.06,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XS,48,none,164.97,82.33,293046400,3.06,,,llama-bench,p512 n128 r3; imatrix(wt2-train-100k)
2026-07-14T07:38:52Z,llama.cpp,2969d6d15d67a08e7b83f26164b15350c79c5248,Qwen3-0.6B,IQ2_XS,12,node0-cpubind,218.76,94.79,293046400,3.06,,,llama-bench,p512 n128 r3; numactl --cpunodebind=0 (membind EPERM in container); imatrix(wt2-train-100k)
